Customer ID,Customer Name,Email,Phone Number,Address Line 1,City,Country,Postcode,Loyalty Card
17670-51384-MA,Aloisia Allner,aallner0@lulu.com,+1 (862) 817-0124,57999 Pepper Wood Alley,Paterson,United States,7505,Yes
73342-18763-UW,Piotr Bote,pbote1@yelp.com,+353 (913) 396-4653,2112 Ridgeway Hill,Crumlin,Ireland,D6W,No
21125-22134-PX,Jami Redholes,jredholes2@tmall.com,+1 (210) 986-6806,5214 Bartillon Park,San Antonio,United States,78205,Yes
71253-00052-RN,Dene Azema,dazema3@facebook.com,+1 (217) 418-0714,27 Maywood Place,Springfield,United States,62711,Yes
23806-46781-OU,Christoffer O' Shea,,+353 (698) 362-9201,38980 Manitowish Junction,Cill Airne,Ireland,N41,No
86561-91660-RB,Beryle Cottier,,+1 (570) 289-7473,2651 Stoughton Place,Scranton,United States,18505,No
65223-29612-CB,Shaylynn Lobe,slobe6@nifty.com,+1 (937) 954-4541,7005 Mariners Cove Place,Dayton,United States,45440,Yes
21134-81676-FR,Melvin Wharfe,,+353 (507) 574-3034,7 Straubel Road,Kill,Ireland,P24,Yes
03396-68805-ZC,Guthrey Petracci,gpetracci8@livejournal.com,+1 (310) 868-1842,949 Paget Parkway,Los Angeles,United States,90045,No
61021-27840-ZN,Rodger Raven,rraven9@ed.gov,+1 (213) 263-0288,1 Reinke Avenue,Los Angeles,United States,90065,No
76239-90137-UQ,Ferrell Ferber,fferbera@businesswire.com,+1 (408) 383-5302,68 High Crossing Court,San Jose,United States,95160,No
49315-21985-BB,Duky Phizackerly,dphizackerlyb@utexas.edu,+1 (408) 533-6012,28643 Bluejay Crossing,San Jose,United States,95194,Yes
34136-36674-OM,Rosaleen Scholar,rscholarc@nyu.edu,+1 (804) 420-0420,80915 Montana Park,Richmond,United States,23285,No
39396-12890-PE,Terence Vanyutin,tvanyutind@wix.com,,331 Bunting Hill,Migrate,United States,41905,No
95875-73336-RG,Patrice Trobe,ptrobee@wunderground.com,+1 (314) 240-7896,827 Declaration Plaza,Saint Louis,United States,63131,Yes
25473-43727-BY,Llywellyn Oscroft,loscroftf@ebay.co.uk,,022 Roth Place,Philadelphia,United States,19172,No
99643-51048-IQ,Minni Alabaster,malabasterg@hexun.com,+1 (971) 483-6255,3 Charing Cross Trail,Portland,United States,97271,No
62173-15287-CU,Rhianon Broxup,rbroxuph@jimdo.com,+1 (713) 663-1338,83517 Thierer Court,Houston,United States,77240,No
57611-05522-ST,Pall Redford,predfordi@ow.ly,,7337 Hayes Junction,Caherconlish,Ireland,F45,Yes
76664-37050-DT,Aurea Corradino,acorradinoj@harvard.edu,+1 (646) 202-5965,698 Canary Terrace,New York City,United States,10060,Yes
84565-53984-SX,Kendal Scardefield,,+353 (733) 405-3302,3 Northridge Crossing,Clondalkin,Ireland,D24,Yes
03090-88267-BQ,Avrit Davidowsky,adavidowskyl@netvibes.com,+1 (616) 481-9962,9 Warrior Junction,Grand Rapids,United States,49560,No
37651-47492-NC,Annabel Antuk,aantukm@kickstarter.com,+1 (941) 740-6268,77965 Lawn Park,Punta Gorda,United States,33982,Yes
95399-57205-HI,Iorgo Kleinert,ikleinertn@timesonline.co.uk,+1 (360) 352-6598,1 Morningstar Lane,Vancouver,United States,98682,Yes
24010-66714-HW,Chrisy Blofeld,cblofeldo@amazon.co.uk,+1 (303) 936-3357,013 Talisman Terrace,Englewood,United States,80150,No
07591-92789-UA,Culley Farris,,+1 (941) 267-4822,4 Mitchell Drive,Punta Gorda,United States,33982,Yes
49231-44455-IC,Selene Shales,sshalesq@umich.edu,+1 (707) 881-5004,74 Bultman Plaza,Petaluma,United States,94975,Yes
50124-88608-EO,Vivie Danneil,vdanneilr@mtv.com,+353 (751) 346-0399,5626 Darwin Avenue,Tralee,Ireland,V92,No
00888-74814-UZ,Theresita Newbury,tnewburys@usda.gov,+353 (803) 587-0026,79526 Bultman Lane,Clonskeagh,Ireland,D04,No
14158-30713-OB,Mozelle Calcutt,mcalcuttt@baidu.com,+353 (928) 869-1762,4389 Russell Way,Rathwire,Ireland,Y25,Yes
51427-89175-QJ,Adrian Swaine,,+1 (303) 486-9517,95 Straubel Hill,Aurora,United States,80044,No
52082-49024-ON,Ray Leivesley,rleivesleyv@canalblog.com,+1 (212) 535-7791,91 Stephen Drive,Jamaica,United States,11407,No
04540-43685-DV,Nelly Basezzi,nbasezziw@webeden.co.uk,+353 (125) 815-7345,923 Mallard Junction,Bailieborough,Ireland,C15,Yes
39123-12846-YJ,Gallard Gatheral,ggatheralx@123-reg.co.uk,,40 Clemons Place,Grand Forks,United States,58207,No
44981-99666-XB,Una Welberry,uwelberryy@ebay.co.uk,+44 (392) 503-8132,40915 Schlimgen Park,Upton,United Kingdom,DN21,Yes
24825-51803-CQ,Faber Eilhart,feilhartz@who.int,+1 (304) 510-6095,6966 Victoria Street,Charleston,United States,25362,No
77634-13918-GJ,Zorina Ponting,zponting10@altervista.org,+1 (501) 172-1476,7118 Holmberg Court,Little Rock,United States,72204,No
13694-25001-LX,Silvio Strase,sstrase11@booking.com,+1 (303) 579-8015,5 Forest Lane,Denver,United States,80291,No
